DGRP_382,36.25,53.87,344.1,1533.8,302.5,35.40,60.73,288.4,1114.0,165.4,0.96,0.24
DGRP_383,63.37,35.11,372.7,1880.6,245.5,35.98,92.89,340.7,1529.1,152.4,0.96,0.72
DGRP_385,51.64,77.19,360.8,1402.1,255.8,28.47,72.68,292.3,989.7,167.8,1.00,0.80
DGRP_386,50.44,76.05,279.5,984.6,276.6,28.08,54.66,230.1,828.5,177.2,0.96,0.04
DGRP_390,66.85,59.22,398.5,1704.4,290.1,34.36,67.79,282.0,1202.9,167.2,0.92,0.00
DGRP_391,81.62,23.42,308.9,1236.7,283.4,47.31,73.76,262.2,843.2,169.5,0.82,0.86
DGRP_392,30.23,72.26,270.9,1302.3,266.5,20.69,61.27,350.2,1373.8,146.9,0.72,0.44
DGRP_395,45.94,69.21,300.8,1319.4,250.9,35.89,65.78,345.2,1561.3,168.6,0.76,0.88
DGRP_397,46.51,47.01,247.6,1133.4,250.5,29.00,65.25,265.5,974.1,171.0,0.80,0.04
DGRP_399,44.11,76.58,324.4,1426.3,266.1,32.24,85.96,279.3,1210.5,172.0,0.58,0.86
DGRP_40,53.77,66.61,385.4,1526.0,279.0,34.49,81.58,296.3,837.0,149.6,0.76,0.88
DGRP_405,67.79,56.14,342.7,1431.5,286.6,43.65,84.38,359.1,1165.2,176.6,0.84,0.88
DGRP_406,62.01,64.39,319.3,1349.3,284.0,30.66,82.98,325.2,991.1,161.3,0.84,0.12
DGRP_409,54.29,76.21,204.0,654.4,231.9,41.01,88.34,225.8,755.7,157.1,0.88,0.40
DGRP_41,63.85,62.28,247.9,990.3,223.9,48.71,70.15,262.2,889.4,145.1,0.56,0.52
DGRP_42,47.60,52.98,292.1,1260.5,259.8,13.65,47.31,216.0,982.9,151.0,0.68,0.64
DGRP_426,67.84,58.09,341.4,1100.2,310.4,37.38,83.62,299.0,509.6,174.4,0.52,0.40
DGRP_427,55.91,72.30,360.3,1685.6,324.8,28.06,74.59,366.0,1057.7,173.2,0.78,0.72
DGRP_437,50.00,86.12,381.8,1664.5,274.3,32.33,83.22,312.6,1148.1,150.7,0.60,0.58
DGRP_439,48.72,87.06,332.2,1632.9,237.7,26.41,69.46,313.5,1185.7,163.0,0.48,0.68
DGRP_440,54.58,74.30,354.4,1531.6,291.5,28.52,72.95,339.6,1100.8,170.8,1.00,0.64
DGRP_441,48.50,59.63,292.3,1143.2,243.4,28.94,92.61,301.1,935.6,156.7,1.00,0.25
DGRP_443,68.86,50.77,379.4,1426.0,363.9,53.65,71.26,430.6,1340.2,202.5,0.92,0.48
DGRP_45,55.90,68.28,275.3,1101.8,263.3,20.85,73.72,213.1,780.3,169.4,0.20,0.20
DGRP_461,51.61,64.39,365.7,1606.0,257.0,18.48,52.60,273.4,931.4,151.7,0.64,0.36
DGRP_48,80.52,42.66,506.8,1730.6,291.1,56.16,65.49,341.1,1260.7,178.6,0.76,0.60
DGRP_486,83.96,33.44,396.1,1801.6,266.1,38.99,83.98,425.1,1142.9,162.1,0.59,0.76
DGRP_49,49.61,88.28,340.0,1372.7,309.8,30.40,78.74,303.5,934.6,155.4,1.00,0.60
DGRP_491,74.13,50.18,365.3,1717.9,301.7,38.14,91.25,308.3,1052.5,161.7,0.52,0.52
DGRP_492,49.83,79.05,447.8,1671.6,266.8,46.61,66.18,415.8,1353.1,193.2,0.96,0.80
DGRP_502,47.32,55.35,283.4,1248.7,248.8,21.99,58.19,196.5,648.7,119.3,0.67,0.16
DGRP_505,30.26,84.16,236.7,862.4,225.9,25.59,74.35,259.8,798.2,159.1,0.92,0.20
DGRP_508,55.32,64.66,320.5,1460.6,240.1,25.84,81.59,310.3,889.8,146.1,0.24,0.44
DGRP_509,61.49,64.18,337.0,1424.9,301.5,42.39,57.81,344.6,1193.6,166.1,0.56,1.00
DGRP_513,61.77,68.42,244.5,1135.3,253.7,27.42,78.66,273.9,921.6,147.7,0.96,0.24
DGRP_517,52.51,55.66,332.7,1317.7,255.5,30.00,66.92,305.8,950.6,151.6,0.55,0.62
DGRP_528,71.74,43.46,414.3,2110.2,290.5,33.77,75.44,372.4,1499.7,175.0,0.80,0.48
DGRP_530,35.04,81.92,335.6,1323.1,249.8,24.78,95.77,254.1,823.4,144.1,0.96,0.56
DGRP_531,54.75,69.58,290.4,1080.7,255.7,36.33,67.49,275.7,998.9,174.4,0.44,0.60
DGRP_535,55.61,78.73,336.8,1677.9,259.2,35.75,72.22,279.3,1103.8,154.5,0.92,0.24
DGRP_551,60.56,63.37,411.7,1665.1,312.4,36.30,79.35,329.6,1048.4,175.5,0.96,0.52
DGRP_555,62.72,73.88,279.3,1417.8,303.2,45.50,55.09,313.4,1063.7,174.4,0.76,0.44
DGRP_559,57.69,67.42,296.5,1155.7,227.3,32.53,80.87,322.2,1056.1,156.7,0.80,0.32
DGRP_563,40.13,97.22,282.7,1436.8,275.1,34.75,75.30,157.3,1098.3,153.2,0.90,0.76
DGRP_566,57.45,68.44,409.6,1526.0,256.8,39.17,67.56,333.0,963.7,152.4,0.72,0.32
DGRP_57,50.18,70.20,205.7,753.3,215.1,25.10,75.79,197.2,865.2,130.8,1.00,1.00
DGRP_584,53.41,78.07,287.4,1426.0,238.5,41.20,81.62,291.1,1250.7,152.6,0.80,0.12
DGRP_589,47.81,75.94,273.7,1126.9,224.2,27.19,86.65,241.2,698.0,134.6,0.96,0.12
DGRP_59,38.58,91.38,312.9,1299.5,278.8,33.39,60.21,324.7,1088.8,169.1,0.76,0.40
DGRP_595,48.18,65.96,349.1,1129.5,244.1,31.26,87.77,326.9,947.7,163.8,0.88,0.68
DGRP_596,55.10,71.73,361.6,1543.4,246.4,28.99,79.75,277.0,1109.3,147.5,0.48,0.24
DGRP_627,42.90,47.24,244.7,1178.6,241.8,22.23,51.81,243.7,934.6,138.3,0.76,0.16
