DGRP_391,0.482,0.015,0.049,0.001,0.880,0.86
DGRP_392,0.364,0.022,0.127,0.004,0.705,0.44
DGRP_399,0.246,0.026,0.173,0.007,0.544,0.86
DGRP_40,0.396,0.026,0.096,0.002,0.762,0.88
DGRP_405,0.247,0.020,0.223,0.005,0.499,0.88
DGRP_406,0.140,0.013,0.361,0.008,0.268,0.12
DGRP_409,0.463,0.031,0.077,0.002,0.808,0.40
DGRP_41,0.254,0.017,0.093,0.002,0.695,0.52
DGRP_42,0.474,0.018,0.044,0.001,0.884,0.64
DGRP_426,0.428,0.028,0.122,0.003,0.737,0.40
DGRP_427,0.363,0.017,0.064,0.001,0.815,0.72
DGRP_437,0.495,0.021,0.071,0.001,0.841,0.58
DGRP_439,0.441,0.017,0.101,0.001,0.788,0.68
DGRP_440,0.372,0.020,0.073,0.001,0.799,0.64
DGRP_441,0.406,0.026,0.066,0.002,0.813,0.25
DGRP_443,0.391,0.019,0.113,0.003,0.743,0.48
DGRP_45,0.488,0.022,0.033,0.001,0.899,0.20
DGRP_48,0.254,0.019,0.212,0.006,0.517,0.60
DGRP_486,0.449,0.031,0.053,0.002,0.839,0.76
DGRP_49,0.292,0.014,0.141,0.002,0.651,0.60
DGRP_491,0.365,0.027,0.151,0.004,0.667,0.52
DGRP_502,0.269,0.020,0.219,0.006,0.523,0.16
DGRP_508,0.329,0.020,0.122,0.003,0.693,0.44
DGRP_509,0.281,0.025,0.180,0.005,0.572,1.00
DGRP_517,0.308,0.024,0.204,0.006,0.569,0.62
DGRP_530,0.447,0.013,0.040,0.001,0.893,0.56
DGRP_531,0.305,0.013,0.171,0.004,0.620,0.60
DGRP_535,0.366,0.025,0.096,0.002,0.748,0.24
DGRP_551,0.353,0.028,0.056,0.001,0.807,0.52
DGRP_555,0.310,0.021,0.146,0.004,0.646,0.44
DGRP_559,0.277,0.021,0.218,0.006,0.530,0.32
DGRP_563,0.254,0.020,0.152,0.004,0.590,0.76
DGRP_57,0.439,0.019,0.036,0.001,0.887,1.00
DGRP_584,0.261,0.024,0.177,0.005,0.559,0.12
DGRP_589,0.318,0.022,0.115,0.003,0.694,0.12
DGRP_59,0.229,0.015,0.112,0.003,0.638,0.40
DGRP_595,0.342,0.029,0.165,0.004,0.634,0.68
DGRP_639,0.319,0.024,0.118,0.003,0.687,0.70
DGRP_642,0.307,0.024,0.121,0.003,0.675,0.40
DGRP_646,0.175,0.025,0.305,0.009,0.340,0.20
DGRP_703,0.231,0.021,0.181,0.008,0.524,0.32
DGRP_705,0.335,0.028,0.153,0.002,0.647,0.32
DGRP_707,0.417,0.023,0.035,0.001,0.875,0.86
DGRP_712,0.465,0.014,0.048,0.001,0.882,0.76
DGRP_714,0.340,0.024,0.125,0.003,0.691,0.27
DGRP_716,0.474,0.017,0.028,0.001,0.913,0.48
DGRP_721,0.473,0.021,0.061,0.001,0.851,0.16
DGRP_727,0.527,0.017,0.044,0.001,0.895,0.52
DGRP_73,0.447,0.014,0.173,0.004,0.700,0.44
DGRP_730,0.276,0.018,0.167,0.002,0.595,0.56
DGRP_732,0.274,0.028,0.205,0.003,0.536,0.94
DGRP_737,0.398,0.017,0.059,0.001,0.838,0.60
DGRP_738,0.205,0.019,0.312,0.011,0.375,0.48
DGRP_748,0.123,0.012,0.304,0.012,0.272,0.56
DGRP_75,0.369,0.019,0.069,0.001,0.806,0.84
DGRP_761,0.486,0.029,0.099,0.003,0.788,0.40
DGRP_765,0.285,0.025,0.112,0.002,0.672,0.80
DGRP_774,0.365,0.026,0.117,0.002,0.715,0.60
DGRP_776,0.215,0.036,0.060,0.003,0.686,0.12
DGRP_783,0.388,0.030,0.100,0.003,0.744,0.54
DGRP_786,0.268,0.023,0.175,0.003,0.571,0.32
DGRP_787,0.382,0.019,0.064,0.001,0.820,0.20
DGRP_790,0.174,0.011,0.036,0.001,0.781,0.04
DGRP_796,0.164,0.015,0.055,0.001,0.697,0.36
DGRP_799,0.318,0.022,0.073,0.002,0.766,0.46
DGRP_801,0.385,0.023,0.083,0.002,0.781,0.80
DGRP_802,0.292,0.023,0.166,0.004,0.602,0.44
DGRP_804,0.353,0.021,0.049,0.001,0.833,0.64
DGRP_805,0.420,0.019,0.063,0.001,0.835,0.92
DGRP_808,0.242,0.012,0.042,0.001,0.813,0.80
