DGRP_589,15.31,0.12
DGRP_59,48.56,0.40
DGRP_595,12.31,0.68
DGRP_596,24.56,0.24
DGRP_639,36.71,0.70
DGRP_642,26.86,0.40
DGRP_646,35.37,0.20
DGRP_69,27.01,0.40
DGRP_703,31.26,0.32
DGRP_705,10.42,0.32
DGRP_707,65.08,0.86
DGRP_712,20.58,0.76
DGRP_714,26.58,0.27
DGRP_716,52.86,0.48
DGRP_721,42.81,0.16
DGRP_727,13.41,0.52
DGRP_73,22.66,0.44
DGRP_730,16.53,0.56
DGRP_732,38.18,0.94
DGRP_737,23.66,0.60
DGRP_738,32.81,0.48
DGRP_748,44.36,0.56
DGRP_75,33.51,0.84
DGRP_757,26.06,0.44
DGRP_761,44.21,0.40
DGRP_765,43.21,0.80
DGRP_774,52.62,0.60
DGRP_776,33.76,0.12
DGRP_783,45.96,0.54
DGRP_786,28.51,0.32
DGRP_787,27.86,0.20
DGRP_790,48.06,0.04
DGRP_796,54.46,0.36
DGRP_799,31.72,0.46
DGRP_801,42.56,0.80
DGRP_802,40.46,0.44
DGRP_804,26.01,0.64
DGRP_805,28.61,0.92
DGRP_808,59.46,0.80
DGRP_810,33.41,0.32
DGRP_812,28.58,0.68
DGRP_818,57.91,0.40
DGRP_819,51.71,0.44
DGRP_820,50.31,0.31
DGRP_821,13.83,0.08
DGRP_822,73.01,0.28
DGRP_83,14.56,0.76
DGRP_832,17.41,0.60
DGRP_837,44.08,0.44
DGRP_843,28.01,0.44
DGRP_849,44.76,0.84
DGRP_85,31.01,0.64
DGRP_850,17.66,0.40
DGRP_852,66.08,0.61
DGRP_853,34.11,0.68
DGRP_855,11.66,0.64
DGRP_857,24.66,0.76
DGRP_859,18.75,0.74
DGRP_861,24.06,0.76
DGRP_879,35.76,0.12
DGRP_88,28.46,0.36
DGRP_882,25.25,0.32
DGRP_884,19.21,0.64
DGRP_887,24.86,0.56
DGRP_890,28.53,0.24
DGRP_892,29.86,0.80
DGRP_894,57.11,0.48
DGRP_897,61.88,0.76
DGRP_900,31.63,0.84
DGRP_907,18.76,0.56
DGRP_908,36.71,0.80
DGRP_91,25.36,0.52
DGRP_911,16.51,0.56
DGRP_913,55.16,0.44
DGRP_93,24.66,0.12
