date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.1hr,n.mate.2hr,ratio.1hr,ratio.2hr
5-Aug,44,Z30,5,5,109,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
8024,33,Z30,5,6,129,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,8,Z30,5,6,129,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,47,Z30,5,5,129,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,34,Z30,5,6,136,10,3,55.61607143,71.36607143,87.61607143,87.61607143,NA,1,4,0.2,0.8
3-Aug,9,Z30,5,6,136,10,7,42.09039548,67.50706215,NA,NA,NA,1,2,0.2,0.4
5-Aug,48,Z30,5,5,136,10,9,59.23305085,59.73305085,NA,NA,NA,2,2,0.4,0.4
8=03,52,Z30,5,17,136,10,7,54.8680791,98.65141243,NA,NA,NA,1,2,0.2,0.4
8=18,49,Z30,5,6,136,10,4,31.8039548,90.13728814,NA,NA,NA,1,2,0.2,0.4
8=18,50,Z30,5,6,136,10,4,NA,NA,NA,NA,NA,,0,0,0
8=19,25,Z30,5,5,136,10,7,NA,NA,NA,NA,NA,,0,0,0
8=22,17,Z30,5,7,136,10,3,35.47368421,57.47368421,59.97368421,NA,NA,3,3,0.6,0.6
9101,3,Z30,5,17,136,10,5,39.68703704,NA,NA,NA,NA,1,1,0.2,0.2
9101,9,Z30,5,17,136,10,5,50.74814815,79.74814815,NA,NA,NA,1,2,0.2,0.4
9102,1,Z30,5,18,136,10,4,35,52.66666667,NA,NA,NA,2,2,0.4,0.4
9102,6,Z30,5,18,136,10,4,13.76041667,NA,NA,NA,NA,1,1,0.2,0.2
9104,1,Z30,5,18,136,10,6,108,NA,NA,NA,NA,,1,0,0.2
9106,2,Z30,5,19,136,10,6,52.35185185,118.6851852,NA,NA,NA,1,2,0.2,0.4
,,,,,sum,,,,,,,,15,24,0.214285714,0.342857143
,,,,,sumsq,,,,,,,,,,1,2.24
8024,35,Z30,5,6,138,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,10,Z30,5,6,138,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,49,Z30,5,5,138,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,36,Z30,5,6,142,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,11,Z30,5,6,142,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,50,Z30,5,5,142,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,37,Z30,5,6,149,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,12,Z30,5,6,149,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,51,Z30,5,5,149,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,38,Z30,5,6,153,9,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,13,Z30,5,6,153,10,7,39.71892655,NA,NA,NA,NA,1,1,0.2,0.2
5-Aug,52,Z30,5,5,153,10,9,63.23870056,NA,NA,NA,NA,,1,0,0.2
,,,,,,,,,,,,,1,2,0.066666667,0.133333333
,,,,,,,,,,,,,,,0.04,0.08
8024,39,Z30,5,6,158,10,3,67.28214286,NA,NA,NA,NA,,1,0,0.2
3-Aug,14,Z30,5,6,158,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,53,Z30,5,5,158,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
8024,41,Z30,5,6,161,10,3,103.2619048,NA,NA,NA,NA,,1,0,0.2
3-Aug,16,Z30,5,6,161,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,55,Z30,5,5,161,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
8024,42,Z30,5,6,176,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,17,Z30,5,6,176,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,56,Z30,5,5,176,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,43,Z30,5,6,177,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,18,Z30,5,6,177,10,7,NA,NA,NA,NA,NA,,0,0,0
5-Aug,57,Z30,5,5,177,10,9,NA,NA,NA,NA,NA,,0,0,0
