DGRP_796,0.189,0.053,0.80
DGRP_799,0.302,0.039,0.84
DGRP_801,0.365,0.034,0.96
DGRP_802,0.185,0.234,0.88
DGRP_804,0.293,0.036,0.76
DGRP_805,0.320,0.039,0.68
DGRP_808,0.292,0.029,0.64
DGRP_810,0.226,0.043,0.60
DGRP_812,0.295,0.038,0.36
DGRP_818,0.258,0.041,0.84
DGRP_819,0.279,0.049,0.88
DGRP_820,0.305,0.032,0.62
DGRP_821,0.312,0.037,0.64
DGRP_822,0.314,0.037,0.80
DGRP_83,0.243,0.063,0.72
DGRP_832,0.377,0.019,0.80
DGRP_837,0.262,0.045,0.92
DGRP_843,0.277,0.049,0.96
DGRP_849,0.270,0.044,0.96
DGRP_85,0.234,0.052,0.44
DGRP_850,0.293,0.047,0.84
DGRP_852,0.297,0.021,0.74
DGRP_853,0.390,0.026,0.88
DGRP_855,0.278,0.042,1.00
DGRP_861,0.272,0.050,0.84
DGRP_88,0.158,0.041,0.76
DGRP_91,0.398,0.020,0.76
DGRP_93,0.246,0.044,0.56
